item,embedding
aardvark,0.023445015773177147 0.2249102145433426 2.6347568035125732 0.003634943161159754 0.02381383813917637 0.05614947900176048 0.036792948842048645 0.0494551807641983 0.03729059174656868 0.12151417136192322 0.008834266103804111 0.015836991369724274 0.003882922697812319 0.018179876729846 0.023652857169508934 0.0022325851023197174 0.010953288525342941 0.00961840059608221 0.034291837364435196 0.023352257907390594 0.024764392524957657 0.02706923708319664 0.009666812606155872 0.0208231583237648 0.008167757652699947 0.03612837940454483 0.005156791768968105 0.03209410235285759 0.0011917023221030831 0.04364864155650139 0.0018714861944317818 0.02768452651798725 0.01246943511068821 0.011947203427553177 0.04628394916653633 0.005597114097326994 0.06984852254390717 0.011357685551047325 0.0066755786538124084 0.020235398784279823 0.010759251192212105 0.036681946367025375 0.06418024003505707 0.017426349222660065 0.005557924974709749 0.032281842082738876 0.03638622537255287 0.04316713660955429 0.008170472458004951
abacus,1.2162628173828125 0.2120264619588852 0.030790144577622414 0.08618022501468658 0.07812363654375076 0.0915311872959137 0.03306620568037033 0.012192469090223312 0.9489875435829163 0.033112041652202606 0.27035561203956604 0.9043695330619812 0.6131617426872253 0.5173910856246948 0.27518245577812195 0.116722971200943 0.9273203015327454 0.794983446598053 0.04090443626046181 0.19272460043430328 0.03843534737825394 0.018064582720398903 0.0029988978058099747 0.015390081331133842 0.007530285511165857 0.10894066840410233 0.023998182266950607 0.18512138724327087 0.030812660232186317 0.3133680820465088 0.03483020141720772 0.16568619012832642 0.010947399772703648 0.04983193799853325 0.00627289479598403 0.05639911815524101 0.010553550906479359 0.26760727167129517 0.04688809812068939 0.02765638567507267 0.006004735361784697 0.93034428358078 0.023533528670668602 0.011657608672976494 0.05376448482275009 0.019489537924528122 0.4337385594844818 0.0074750264175236225 0.07840244472026825
accordion,0.9413446187973022 0.04399370029568672 0.02270893193781376 0.07529302686452866 0.2948566973209381 0.002651806455105543 0.005566238425672054 0.17189881205558777 0.03250106796622276 0.3049398362636566 0.05386130139231682 0.5347974896430969 1.0144709348678589 0.39000919461250305 0.0744088813662529 0.043334800750017166 0.38867101073265076 0.4508511424064636 0.010931234806776047 0.2951969802379608 0.004005151800811291 0.032891031354665756 0.08130206912755966 0.03255380690097809 0.01872994564473629 0.1309332400560379 0.33780255913734436 1.6077098846435547 0.028544532135128975 0.005847120191901922 0.581580400466919 0.458625853061676 0.128198504447937 0.01745004393160343 0.020355897024273872 0.010701093822717667 0.023891055956482887 0.010079723782837391 0.026908012107014656 0.0017277698498219252 0.06004584580659866 0.13356615602970123 0.38367924094200134 0.022445570677518845 0.026673220098018646 0.015072391368448734 0.0214578565210104 0.005046166013926268 0.05808204784989357
acorn,0.24573032557964325 1.0902433395385742 0.7904656529426575 0.037349313497543335 0.018132172524929047 0.889878511428833 0.21473237872123718 0.026395753026008606 1.140915036201477 0.05654814466834068 0.007856939919292927 0.44539907574653625 0.07594649493694305 0.048579953610897064 0.2550623416900635 0.05729236826300621 0.010134241543710232 0.01283340435475111 0.14294345676898956 0.04423066973686218 0.01883460208773613 0.8144966959953308 0.03767945244908333 0.28085437417030334 0.012552489526569843 0.12239979952573776 0.11000481992959976 0.00510857068002224 0.012858212925493717 1.0279350280761719 0.03697740286588669 0.06879489868879318 0.010652062483131886 0.017142709344625473 0.01885460875928402 0.1418340653181076 0.0526462122797966 0.022524023428559303 0.018030405044555664 0.02930179052054882 0.2825849950313568 0.02997325360774994 0.010882748290896416 0.011880842968821526 0.01377015095204115 0.014994475990533829 0.05021413043141365 0.050764329731464386 0.0022380154114216566
air conditioner,0.8160485625267029 0.045588210225105286 0.010805556550621986 0.21346178650856018 1.4072026014328003 0.004317118786275387 0.41920188069343567 0.09706004709005356 0.024306103587150574 0.06850813329219818 0.14737176895141602 0.013289855793118477 1.5220123529434204 0.05437744781374931 0.006566216703504324 0.03180313482880592 0.041756901890039444 0.0240155141800642 0.05282823368906975 0.02673388086259365 0.16659846901893616 0.026886576786637306 0.3533753752708435 0.009675472043454647 0.5706644654273987 0.0005696478765457869 0.013378109782934189 0.021235322579741478 0.07667665183544159 0.009881961159408092 0.08734606206417084 0.05607076734304428 0.0926731675863266 0.055689696222543716 0.030689479783177376 0.005936339497566223 0.007974413223564625 0.05238249897956848 0.37265121936798096 0.09765539318323135 0.07927808165550232 0.05171217769384384 0.3098624646663666 0.014482177793979645 0.0828670784831047 0.07996360212564468 0.8710013628005981 0.00019682387937791646 0.07867249101400375
air mattress,0.504734218120575 0.1982993185520172 0.052878640592098236 0.6317686438560486 1.6198307275772095 0.08241152763366699 0.04030824080109596 0.3864734172821045 0.369167685508728 0.05067740008234978 0.22453013062477112 0.05620794743299484 0.11134152114391327 0.5708537101745605 0.055374231189489365 0.02706017717719078 0.08271239697933197 0.024971937760710716 0.04384448006749153 0.044644758105278015 0.24652136862277985 0.10888615250587463 0.29888716340065 0.12244366109371185 0.10386902838945389 0.27226611971855164 0.01475331000983715 0.26139095425605774 0.018620910122990608 0.08541830629110336 0.4738728702068329 0.11671934276819229 0.04755820333957672 0.02017151191830635 0.0813068076968193 0.08017713576555252 0.25831061601638794 0.010092378593981266 0.4890251159667969 0.1185510903596878 0.05229450389742851 0.005624777637422085 0.012646432034671307 0.02701694704592228 0.08403532952070236 0.33205538988113403 0.1036124974489212 0.030355172231793404 0.06319461762905121
air pump,1.2853449583053589 0.016339007765054703 0.01184908114373684 0.06683948636054993 0.11366429179906845 0.03976656496524811 0.7444310188293457 0.6829466819763184 0.07380213588476181 0.00893903523683548 0.05489429831504822 0.06570470333099365 0.2439289391040802 0.9058064222335815 0.028497619554400444 0.9234561324119568 0.03268659487366676 0.10351359844207764 0.2871892750263214 0.5686197280883789 0.04142376780509949 0.0027089049108326435 0.8223448991775513 0.0358930267393589 0.0898987203836441 0.043778661638498306 0.00950950849801302 0.09052835404872894 0.05431343615055084 0.0702618807554245 0.02281256392598152 0.019112704321742058 0.021823979914188385 0.03695797547698021 0.021258113905787468 0.11555052548646927 0.0385548435151577 0.0438317209482193 0.032299816608428955 0.09394637495279312 0.019533874467015266 0.006524242926388979 0.0270695798099041 0.04704434797167778 0.005330373533070087 0.01599319651722908 0.03345753625035286 0.06544690579175949 0.0379626527428627
airbag,0.7862145900726318 0.0239450354129076 0.033152732998132706 0.5608270764350891 0.6070959568023682 0.014701473526656628 0.11332853883504868 1.4621378183364868 0.017732447013258934 0.19077685475349426 0.038162149488925934 0.047640491276979446 0.25820261240005493 0.29351451992988586 0.3025095760822296 0.04695591703057289 0.0113114258274436 0.023493381217122078 0.03234093636274338 0.003089525969699025 0.04538412392139435 0.057998862117528915 0.042937569320201874 0.0529823936522007 0.25883305072784424 0.18487901985645294 0.6485656499862671 0.05746321380138397 0.02683860994875431 0.1345406174659729 0.013365066610276699 0.0326632559299469 0.47773492336273193 1.0414115190505981 0.006991120055317879 0.06318863481283188 0.04968959838151932 0.052638981491327286 0.8018679618835449 0.18112023174762726 0.05646688491106033 0.006555266212671995 0.04292186349630356 0.021133465692400932 0.08076158165931702 0.16436630487442017 0.04650692641735077 0.0829453319311142 0.0889066830277443
airboat,1.0881694555282593 -0.0004622245323844254 0.38459980487823486 0.15192022919654846 0.08395954221487045 0.3511243760585785 0.9536765217781067 1.5115045309066772 0.07780922204256058 0.08314209431409836 0.03218755125999451 0.06423436105251312 0.3286057412624359 0.2514991760253906 0.323356032371521 0.02291260100901127 0.07289203256368637 0.03823442757129669 0.08547280728816986 0.01034238189458847 0.6474948525428772 0.05016503110527992 0.01812986470758915 0.0432940348982811 0.017681825906038284 0.05359497666358948 0.10277680307626724 0.020600533112883568 0.2148132622241974 0.013738654553890228 0.21086862683296204 0.08152361959218979 0.050544507801532745 0.05607382580637932 0.011685739271342754 0.05522583797574043 0.09127641469240189 0.03443119674921036 0.2955220937728882 0.034243326634168625 0.07631450146436691 0.13153523206710815 0.9453364610671997 0.064789317548275 0.08981805294752121 0.041306301951408386 0.12621738016605377 0.09252611547708511 0.030559832230210304
aircraft carrier,1.0519824028015137 0.010558564215898514 0.031502630561590195 0.017057480290532112 0.257686585187912 0.01613180711865425 0.42955127358436584 1.5427759885787964 0.016537154093384743 0.006629635114222765 0.04074190557003021 0.021687477827072144 0.38698554039001465 0.060056984424591064 0.007526288274675608 0.01130920834839344 0.03891482576727867 0.25563833117485046 0.043837279081344604 0.013671653345227242 1.4272984266281128 0.04693668335676193 0.014235977083444595 0.03871865198016167 0.033388420939445496 0.0054067401215434074 0.40005508065223694 0.01397023256868124 0.3105672001838684 0.030372003093361855 0.03644094988703728 0.17410808801651 0.026900017634034157 0.017397256568074226 0.035958558320999146 0.01943056471645832 0.026679564267396927 0.04601118713617325 0.02808077074587345 0.06109943985939026 0.031448133289813995 0.09754086285829544 0.03637775778770447 0.03889709711074829 0.034197334200143814 0.004877935163676739 0.04011809453368187 0.021030467003583908 0.039613883942365646
airplane,0.8462479114532471 0.008379627019166946 0.16674546897411346 0.047247085720300674 0.013734283857047558 0.005716976244002581 0.022976556792855263 1.885337471961975 0.033497124910354614 0.05745723843574524 0.0724833756685257 0.05402969941496849 0.3862016797065735 0.6725549101829529 0.006000728812068701 0.006932536140084267 0.04405926167964935 0.041184231638908386 0.0011873827315866947 0.07416562736034393 0.2364051789045334 0.03418455645442009 0.00800464116036892 0.02392442338168621 0.014379546977579594 0.010393002070486546 0.27877265214920044 0.24114638566970825 1.702551007270813 0.0029426426626741886 0.0031133983284235 0.013735566288232803 0.07472057640552521 0.20488791167736053 0.3196019232273102 0.005866735242307186 0.02350149117410183 0.26943135261535645 0.02067900076508522 0.048823341727256775 0.09742150455713272 0.03159264475107193 0.018372131511569023 0.07424163818359375 0.05488041788339615 0.025285840034484863 0.0013921161880716681 0.023653222247958183 0.02341335453093052
album,0.415971964597702 0.15526799857616425 0.12226687371730804 0.18974509835243225 0.7050549983978271 0.8435415625572205 0.14999905228614807 0.06729478389024734 0.12921090424060822 0.07115039229393005 0.7053323984146118 0.329580694437027 0.4729655385017395 0.09352026879787445 0.04282514005899429 0.011204161681234837 0.4849489629268646 1.5800319910049438 0.05234508961439133 0.029134999960660934 0.08625112473964691 0.003127171890810132 0.07166866958141327 0.46337446570396423 0.021732984110713005 0.004041563719511032 0.035402752459049225 0.0653882622718811 0.02450620010495186 0.06916186213493347 0.030768482014536858 0.07338115572929382 0.18837511539459229 0.040687356144189835 0.3212103843688965 0.028861593455076218 0.007510805502533913 0.0982196182012558 0.01168117206543684 0.07318628579378128 0.016598312184214592 0.05456743761897087 0.015596677549183369 0.015250998549163342 0.42237168550491333 0.003776701632887125 0.04539789631962776 0.9024083018302917 0.018069883808493614
