head,winner,loser,raw_generation
cockroach,monkey,vial,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cockroach: monkey or vial? Respond only with the item name.
model
Monkey"
chariot,windshield,moth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chariot: windshield or moth? Respond only with the item name.
model
Windshield"
cookie sheet,joystick,cardinal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cookie sheet: joystick or cardinal? Respond only with the item name.
model
Joystick"
stethoscope,wood,slicer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stethoscope: wood or slicer? Respond only with the item name.
model
Stethoscope"
ivy,almond,handkerchief,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ivy: almond or handkerchief? Respond only with the item name.
model
Handkerchief"
boomerang,coleslaw,sleeping bag,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to boomerang: coleslaw or sleeping bag? Respond only with the item name.
model
coleslaw"
curtain,balance beam,space shuttle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to curtain: balance beam or space shuttle? Respond only with the item name.
model
Curtain"
blowgun,bagpipe,soap,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blowgun: bagpipe or soap? Respond only with the item name.
model
Bagpipe"
pulpit,praying mantis,hourglass,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pulpit: praying mantis or hourglass? Respond only with the item name.
model
Praying mantis"
leek,zucchini,propeller,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to leek: zucchini or propeller? Respond only with the item name.
model
Zucchini"
freezer,poinsettia,water cooler,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to freezer: poinsettia or water cooler? Respond only with the item name.
model
Water cooler"
chest,hula hoop,crystal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chest: hula hoop or crystal? Respond only with the item name.
model
Hula hoop"
sloth,hawk,keg,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sloth: hawk or keg? Respond only with the item name.
model
Hawk"
slicer,remote control,dolphin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to slicer: remote control or dolphin? Respond only with the item name.
model
Slicer"
cannon,milk,landmine,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cannon: milk or landmine? Respond only with the item name.
model
Milk"
bungee,boy,bolt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bungee: boy or bolt? Respond only with the item name.
model
Bolt"
blinder,cage,gumball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to blinder: cage or gumball? Respond only with the item name.
model
Gumball"
