item,id,dim_0,dim_1,dim_2,dim_3,dim_4
airbag,0,-0.01786326,0.0053936965,0.078692414,0.13326652,0.045850046
album,1,-0.23042265,-0.030659487,-0.18778992,0.045986284,-0.0663166
appetizer,2,0.035825633,0.22296587,0.1196479,-0.002035002,0.0879628
applesauce,3,-0.15104674,0.087784246,-0.102222696,0.010742883,0.14693613
backscratcher,4,0.08045126,0.09406655,-0.05560934,-0.10099264,-0.0044379155
badger,5,-0.1542016,-0.1657499,0.023969755,-0.04369955,-0.015315691
bag,6,-0.13260137,-0.042280443,-0.07505024,0.08963673,0.03193955
baklava,7,-0.19031534,0.07323768,-0.15829495,-0.047191385,-0.051227458
banjo,8,-0.119542755,-0.0749955,-0.25032365,0.05211042,0.0008915083
baseball,9,0.11265107,0.08161226,-0.025169164,-0.040551666,0.035706185
baseball glove,10,0.15833312,0.0777626,-0.17699601,-0.03564874,-0.07639795
bassinet,11,0.0702882,0.015985671,0.14322062,-0.08140702,-0.024207415
bassoon,12,0.006202647,-0.007894224,0.21590583,0.014908905,0.2066175
bathrobe,13,-0.017633297,0.075290844,0.06337247,0.13879314,-0.1691464
bathtub,14,-0.11450748,0.19083929,-0.085673146,0.16119017,0.033208285
beachball,15,0.11936797,0.0064843935,0.025339913,-0.17234652,0.0452464
beanbag,16,0.09845738,-0.096998945,0.24526592,0.12811099,0.06771445
beanie,17,-0.23695447,0.13862944,0.055949833,0.10003748,-0.0807609
bear,18,-0.074512444,-0.26872966,0.07727163,-0.026523167,0.061644707
bed,19,0.16639787,0.0065043885,-0.160509,0.12482103,0.07344248
beer,20,0.10778719,-0.12911351,0.014365859,0.039128594,-0.05773903
bench,21,-0.052806295,-0.1738491,0.05957519,-0.18398075,-0.15032268
blower,22,0.012179926,-0.09492889,0.0034050238,-0.066518,0.26943818
bok choy,23,-0.19861917,0.0076092565,-0.004950802,-0.11852422,0.036318246
bongo,24,-0.016546272,0.013876017,-0.23786032,0.06253138,0.1333521
bow,25,-0.19496253,-0.022652896,0.074907996,0.18438222,0.0617612
bracelet,26,-0.08435206,-0.16670787,0.10139944,-0.08497191,0.05413653
bread,27,-0.029190032,0.13404562,0.084648415,0.09718867,-0.05073513
butterfly,28,-0.084480055,0.03290424,0.1711815,0.042521577,-0.12643345
button,29,0.20419681,-0.041766617,-0.053123273,0.13880578,-0.0790848
cannonball,30,-0.024998093,-0.05226582,0.08416282,0.21471563,-0.1572058
canvas,31,-0.23116899,-0.10293873,0.09942828,0.04607008,-0.08509281
carriage,32,-0.13604736,0.22331786,0.0043049776,0.07067088,-0.034675248
chainsaw,33,-0.061495446,-0.06765965,-0.023166887,0.3156794,0.05205309
chaps,34,-0.12783156,0.20718692,0.082248844,0.04612254,-0.15345757
chipmunk,35,-0.25904977,-0.124365196,0.08208008,0.16667968,-0.052049827
coaster,36,0.00429074,-0.12594655,0.23868273,0.034497347,0.0053016506
computer screen,37,-0.036501423,0.029006,-0.06722191,-0.16628444,-0.0187694
cooker,38,0.10131762,0.13915291,0.11355526,0.107631415,0.032368045
cot,39,-0.052941296,-0.021602176,-0.043144166,0.11071198,0.21258885
couch,40,-0.0057717487,-0.08809499,-0.03057036,0.033886883,0.23203306
cow,41,-0.07728424,0.18642287,0.0974669,0.10730086,0.11779721
crepe,42,0.074175455,0.06783111,-0.010725654,0.20567141,0.07057594
crib,43,-0.059446137,-0.05927909,0.0006198748,0.060498334,0.29571712
crow,44,0.011178436,-0.0246505,0.07562459,-0.20666595,0.008630869
cupcake,45,0.04572477,-0.10515483,0.124061555,0.01728534,-0.25126335
cymbal,46,-0.029280463,0.13354635,0.088907845,-0.01015313,-0.06654342
